,episode,id,depart_sec,arrival_sec,duration_sec,wait_step,wait_sec
342,1,f_1_5.4,319.00,992.00,673.00,25,329.00
343,1,f_1_4.60,755.00,993.00,238.00,9,114.00
344,1,f_1_4.61,784.00,994.00,210.00,7,91.00
345,1,f_1_5.5,324.00,997.00,673.00,23,309.00
346,1,f_3_9.0,900.00,998.00,98.00,3,24.00
347,1,f_1_1.15,498.00,999.00,501.00,20,248.00
348,1,f_1_5.22,416.00,1001.00,585.00,20,259.00
349,1,f_0_2.21,305.00,1002.00,697.00,22,380.00
350,1,f_0_2.22,337.00,1004.00,667.00,23,351.00
351,1,f_1_4.62,803.00,1004.00,201.00,8,83.00
352,1,f_2_4.5,859.00,1005.00,146.00,5,57.00
353,1,f_1_2.9,582.00,1006.00,424.00,18,173.00
354,1,f_3_11.1,913.00,1008.00,95.00,3,27.00
355,1,f_1_1.16,507.00,1010.00,503.00,19,281.00
356,1,f_1_2.17,665.00,1012.00,347.00,14,124.00
357,1,f_1_1.17,510.00,1013.00,503.00,19,263.00
358,1,f_1_0.25,496.00,1015.00,519.00,13,243.00
359,1,f_1_1.13,467.00,1016.00,549.00,20,307.00
360,1,f_1_3.15,455.00,1017.00,562.00,19,267.00
361,1,f_1_5.54,686.00,1018.00,332.00,8,146.00
362,1,f_2_4.3,858.00,1018.00,160.00,6,65.00
363,1,f_1_5.61,703.00,1025.00,322.00,10,144.00
364,1,f_1_4.56,621.00,1029.00,408.00,17,225.00
365,1,f_1_0.38,597.00,1030.00,433.00,14,209.00
366,1,f_1_4.57,642.00,1032.00,390.00,14,204.00
367,1,f_2_0.0,600.00,1032.00,432.00,16,202.00
368,1,f_1_4.58,646.00,1034.00,388.00,16,208.00
369,1,f_3_10.0,900.00,1038.00,138.00,4,70.00
370,1,f_1_1.31,680.00,1041.00,361.00,12,216.00
371,1,f_2_0.1,607.00,1042.00,435.00,15,200.00
372,1,f_1_4.51,580.00,1044.00,464.00,16,239.00
373,1,f_2_0.2,613.00,1045.00,432.00,15,197.00
374,1,f_3_8.0,900.00,1046.00,146.00,4,40.00
375,1,f_2_5.0,705.00,1048.00,343.00,13,150.00
376,1,f_3_11.2,926.00,1053.00,127.00,5,47.00
377,1,f_1_4.52,583.00,1054.00,471.00,16,262.00
378,1,f_3_10.1,913.00,1057.00,144.00,3,80.00
379,1,f_1_4.63,815.00,1059.00,244.00,10,117.00
380,1,f_3_10.2,926.00,1060.00,134.00,4,63.00
381,1,f_3_9.1,913.00,1067.00,154.00,4,78.00
382,1,f_1_3.11,410.00,1068.00,658.00,28,307.00
383,1,f_3_10.3,939.00,1068.00,129.00,4,61.00
384,1,f_1_5.48,609.00,1073.00,464.00,18,218.00
385,1,f_2_4.7,864.00,1073.00,209.00,9,96.00
386,1,f_1_5.60,702.00,1075.00,373.00,18,158.00
387,1,f_1_4.64,840.00,1075.00,235.00,10,96.00
388,1,f_3_9.2,926.00,1077.00,151.00,5,72.00
389,1,f_1_3.16,496.00,1079.00,583.00,18,293.00
390,1,f_3_9.3,939.00,1079.00,140.00,3,62.00
391,1,f_3_9.4,952.00,1080.00,128.00,3,49.00
392,1,f_1_3.12,414.00,1081.00,667.00,26,315.00
393,1,f_2_0.23,795.00,1082.00,287.00,10,112.00
394,1,f_3_9.5,965.00,1082.00,117.00,3,39.00
395,1,f_2_4.0,845.00,1083.00,238.00,8,110.00
396,1,f_3_10.4,952.00,1083.00,131.00,6,45.00
397,1,f_2_0.24,802.00,1084.00,282.00,9,101.00
398,1,f_1_5.58,701.00,1093.00,392.00,17,172.00
399,1,f_1_4.53,586.00,1094.00,508.00,20,284.00
400,1,f_3_10.5,965.00,1098.00,133.00,7,44.00
401,1,f_3_10.6,978.00,1100.00,122.00,4,38.00
402,1,f_1_3.19,514.00,1102.00,588.00,17,318.00
403,1,f_2_5.9,714.00,1103.00,389.00,18,171.00
404,1,f_3_11.3,939.00,1103.00,164.00,7,45.00
405,1,f_3_8.1,922.00,1106.00,184.00,6,71.00
406,1,f_1_4.59,662.00,1109.00,447.00,17,256.00
407,1,f_2_0.3,619.00,1109.00,490.00,15,277.00
408,1,f_1_2.3,512.00,1111.00,599.00,22,306.00
409,1,f_2_0.4,625.00,1111.00,486.00,15,280.00
410,1,f_2_0.5,631.00,1113.00,482.00,13,262.00
411,1,f_2_5.11,737.00,1113.00,376.00,14,163.00
412,1,f_2_5.2,705.00,1115.00,410.00,13,203.00
413,1,f_1_2.4,527.00,1117.00,590.00,22,295.00
414,1,f_3_9.6,978.00,1123.00,145.00,4,66.00
415,1,f_3_9.7,991.00,1125.00,134.00,5,57.00
416,1,f_2_5.10,737.00,1129.00,392.00,11,167.00
417,1,f_2_5.14,777.00,1130.00,353.00,12,127.00
418,1,f_3_8.2,944.00,1130.00,186.00,7,88.00
419,1,f_1_2.5,537.00,1135.00,598.00,21,296.00
420,1,f_2_0.6,637.00,1135.00,498.00,17,269.00
421,1,f_1_4.54,590.00,1136.00,546.00,20,295.00
422,1,f_3_10.7,991.00,1138.00,147.00,6,59.00
423,1,f_3_10.8,1004.00,1140.00,136.00,6,52.00
424,1,f_3_6.1,922.00,1142.00,220.00,4,103.00
425,1,f_1_3.42,828.00,1143.00,315.00,7,148.00
426,1,f_3_9.8,1004.00,1143.00,139.00,6,58.00
427,1,f_1_5.39,509.00,1144.00,635.00,22,386.00
428,1,f_2_0.7,643.00,1147.00,504.00,18,260.00
429,1,f_3_10.9,1017.00,1147.00,130.00,3,56.00
430,1,f_2_0.8,649.00,1149.00,500.00,18,269.00
431,1,f_3_10.10,1030.00,1150.00,120.00,3,44.00
432,1,f_2_5.17,787.00,1151.00,364.00,13,144.00
433,1,f_3_10.11,1043.00,1151.00,108.00,4,25.00
434,1,f_1_5.40,516.00,1153.00,637.00,24,357.00
435,1,f_3_10.12,1056.00,1153.00,97.00,2,28.00
436,1,f_2_5.7,710.00,1154.00,444.00,19,205.00
437,1,f_3_10.13,1069.00,1154.00,85.00,3,14.00
438,1,f_3_9.9,1017.00,1158.00,141.00,5,56.00
439,1,f_1_5.41,519.00,1163.00,644.00,22,375.00
440,1,f_3_9.10,1030.00,1168.00,138.00,6,52.00
441,1,f_3_9.11,1043.00,1170.00,127.00,4,39.00
442,1,f_2_4.2,856.00,1172.00,316.00,6,202.00
443,1,f_1_5.42,531.00,1173.00,642.00,20,355.00
444,1,f_2_5.12,759.00,1175.00,416.00,17,166.00
445,1,f_2_0.25,822.00,1177.00,355.00,10,180.00
446,1,f_3_8.3,966.00,1179.00,213.00,8,76.00
447,1,f_3_8.4,987.00,1181.00,194.00,7,67.00
448,1,f_1_3.17,504.00,1187.00,683.00,24,380.00
449,1,f_3_10.14,1082.00,1187.00,105.00,3,37.00
450,1,f_3_9.12,1056.00,1188.00,132.00,7,52.00
451,1,f_2_5.22,832.00,1194.00,362.00,13,134.00
452,1,f_2_5.32,888.00,1196.00,308.00,11,124.00
453,1,f_3_11.6,978.00,1199.00,221.00,7,89.00
454,1,f_1_3.9,405.00,1203.00,798.00,30,422.00
455,1,f_3_11.5,965.00,1203.00,238.00,9,101.00
