,episode,time_sec,step,action,reward
202,1,1015,203.0,"0,2,0,3,3,0,1,3,0,0,4,1,2,4,0,2,3,0,0,3,4,3,0,4,2",-238.60000000000002
203,1,1020,204.0,"2,2,0,3,0,4,0,2,3,0,4,1,4,3,3,1,3,2,0,0,4,1,4,4,1",-256.20000000000005
204,1,1025,205.0,"4,0,2,2,4,4,0,3,3,3,4,3,1,1,0,2,0,3,3,0,3,1,3,0,2",-270.2
205,1,1030,206.0,"2,0,0,3,0,2,2,3,1,0,0,1,3,0,3,3,0,2,2,1,3,0,3,1,0",-274.79999999999995
206,1,1035,207.0,"4,1,4,0,2,2,1,2,0,2,1,0,1,3,3,1,4,4,2,0,2,3,2,0,3",-257.0
207,1,1040,208.0,"2,4,0,3,1,0,1,3,0,0,0,3,0,0,1,2,0,0,0,1,3,0,2,0,2",-272.20000000000005
208,1,1045,209.0,"2,0,3,0,2,0,0,0,4,0,1,1,4,0,1,3,0,3,0,1,2,3,2,3,4",-272.0
209,1,1050,210.0,"0,3,0,2,4,0,2,0,3,2,0,1,3,0,4,2,0,4,2,1,2,0,2,1,0",-280.4
210,1,1055,211.0,"1,0,2,1,0,4,0,2,1,0,0,3,0,3,1,1,1,3,0,4,0,0,0,1,0",-246.0
211,1,1060,212.0,"3,4,0,4,3,2,0,2,0,2,0,0,1,2,2,1,0,2,0,0,0,3,2,3,1",-259.6
212,1,1065,213.0,"1,3,1,4,3,0,2,2,2,3,3,1,3,0,3,2,0,0,3,3,4,0,0,0,2",-265.4
213,1,1070,214.0,"4,0,1,2,1,2,3,3,2,0,2,1,0,1,4,3,4,2,2,0,2,3,2,3,2",-286.2
214,1,1075,215.0,"4,1,2,0,3,1,0,2,0,3,1,1,3,0,4,0,4,0,2,1,4,0,2,0,0",-302.8
215,1,1080,216.0,"0,3,1,0,0,2,2,2,0,4,0,1,2,0,2,1,4,0,1,1,3,3,4,2,0",-292.8
216,1,1085,217.0,"0,3,0,4,3,0,3,1,0,4,2,4,0,0,3,4,4,2,2,2,0,1,1,2,1",-267.6
217,1,1090,218.0,"2,2,2,2,0,0,1,1,0,4,0,2,0,2,2,1,0,2,1,2,1,1,0,2,0",-236.79999999999998
218,1,1095,219.0,"0,4,0,2,4,1,0,2,3,2,3,2,4,0,0,0,0,3,1,2,3,4,4,1,0",-240.2
219,1,1100,220.0,"2,3,1,4,0,1,0,2,2,2,2,4,4,0,2,0,3,2,0,4,1,3,2,3,0",-274.2
220,1,1105,221.0,"2,4,2,4,2,2,1,1,0,0,3,1,2,3,0,3,4,0,3,2,3,0,2,3,0",-304.00000000000006
221,1,1110,222.0,"0,2,0,4,4,1,2,1,2,3,0,3,1,3,1,2,0,4,3,4,0,1,4,1,2",-328.0
222,1,1115,223.0,"1,2,0,0,0,2,0,0,1,4,0,1,3,4,4,3,4,1,1,2,0,0,2,2,2",-291.2
223,1,1120,224.0,"0,4,1,3,3,2,0,3,2,0,2,2,2,0,0,2,1,4,0,0,1,1,2,3,2",-301.8
224,1,1125,225.0,"4,1,2,4,0,0,1,1,3,2,0,0,2,4,3,2,3,0,1,0,1,4,3,3,0",-277.6
225,1,1130,226.0,"0,4,2,3,0,2,0,0,0,0,3,4,4,3,0,2,4,1,0,0,0,3,0,3,0",-295.2
226,1,1135,227.0,"0,2,1,2,0,1,0,1,3,2,2,2,0,0,4,2,3,4,2,3,0,1,4,4,3",-316.0
